mode,individual_energy_percent,cumulative_energy_percent
1,97.9855129903,97.9855129903
2,1.1966660103,99.1821790006
3,0.6826493647,99.8648283653
4,0.0867367614,99.9515651267
5,0.0373064703,99.9888715970
6,0.0059675006,99.9948390975
7,0.0028257282,99.9976648257
8,0.0009396133,99.9986044390
9,0.0004167402,99.9990211792
10,0.0003821798,99.9994033589
11,0.0002856746,99.9996890335
12,0.0001883421,99.9998773756
13,0.0000746981,99.9999520737
14,0.0000479263,100.0000000000
15,0.0000000000,100.0000000000
